City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,11.66,83,75,10.8,GB,1707073227
1,chonchi,-42.6128,-73.8092,24.82,30,3,0.97,CL,1707072982
2,togur,58.3631,82.8265,-4.36,96,100,4.47,RU,1707073490
3,palikir - national government center,6.9248,158.1611,26.41,83,100,4.63,FM,1707073312
4,port-aux-francais,-49.35,70.2167,5.05,72,7,10.06,TF,1707072968
5,sur,22.5667,59.5289,21.43,62,4,2.51,OM,1707073367
6,grytviken,-54.2811,-36.5092,2.72,78,61,8.77,GS,1707073289
7,bredasdorp,-34.5322,20.0403,22.87,82,25,2.3,ZA,1707072967
8,anadyr,64.75,177.4833,-15.72,66,100,7.0,RU,1707073000
9,iqaluit,63.7506,-68.5145,-19.15,78,100,5.14,CA,1707072991
10,daru,-9.0763,143.2092,25.95,91,100,3.18,PG,1707073062
11,edinburgh of the seven seas,-37.0676,-12.3116,15.75,77,70,9.17,SH,1707072980
12,san benito,36.6166,-121.0844,7.28,83,100,10.03,US,1707073491
13,carnarvon,-24.8667,113.6333,22.64,63,0,11.4,AU,1707073004
14,ushuaia,-54.8,-68.3,16.81,59,75,7.2,AR,1707072983
15,minas de marcona,-15.2119,-75.1103,23.63,66,64,4.64,PE,1707073306
16,waitangi,-43.9535,-176.5597,17.12,86,95,0.89,NZ,1707073280
17,constantia,44.1833,28.65,7.38,80,100,5.27,RO,1707072992
18,la ronge,55.1001,-105.2842,-8.86,62,100,2.57,CA,1707073492
19,selfoss,63.9331,-20.9971,-13.31,83,4,3.85,IS,1707073364
20,la passe,45.5549,-0.8967,8.13,88,91,2.52,FR,1707072975
21,kingston,17.997,-76.7936,28.66,70,40,4.12,JM,1707072917
22,marinette,45.1,-87.6307,1.03,80,0,3.09,US,1707073492
23,thompson,55.7435,-97.8558,-2.91,86,100,4.12,CA,1707073016
24,yellowknife,62.456,-114.3525,-23.89,79,20,2.06,CA,1707073284
25,port elizabeth,-33.918,25.5701,19.67,95,40,3.09,ZA,1707073014
26,takoradi,4.8845,-1.7554,27.46,76,91,3.82,GH,1707073492
27,sitka,57.0531,-135.33,3.94,93,100,3.09,US,1707072998
28,punta arenas,-53.15,-70.9167,20.06,60,75,2.57,CL,1707073014
29,nebraska city,40.6767,-95.8592,4.82,81,40,7.2,US,1707073312
30,enewetak,11.3474,162.3373,26.43,75,100,8.74,MH,1707072986
31,crikvenica,45.1772,14.6928,7.11,87,0,0.51,HR,1707073493
32,fale old settlement,-9.3852,-171.2468,29.14,77,100,11.33,TK,1707072987
33,khvoynaya,58.9,34.5333,-6.62,97,100,1.98,RU,1707073493
34,yeppoon,-23.1333,150.7333,23.88,72,52,3.3,AU,1707072759
35,bethel,41.3712,-73.414,5.46,46,0,4.12,US,1707072977
36,tolanaro,-25.0319,46.9987,25.04,88,75,8.23,MG,1707073001
37,adamstown,-25.066,-130.1015,24.91,79,100,3.69,PN,1707072974
38,ancud,-41.8697,-73.8203,18.17,55,54,4.7,CL,1707073006
39,lazaro cardenas,17.9583,-102.2,27.14,56,0,4.76,MX,1707073022
40,hasaki,35.7333,140.8333,1.22,58,100,3.19,JP,1707073367
41,blackmans bay,-43.0167,147.3167,12.17,96,49,0.45,AU,1707072973
42,avarua,-21.2078,-159.775,28.03,78,9,1.03,CK,1707073308
43,sault ste. marie,46.5168,-84.3333,0.16,88,20,6.17,CA,1707073472
44,puerto ayora,-0.7393,-90.3518,28.08,87,67,3.13,EC,1707072990
45,ofunato,39.0717,141.7167,0.18,62,44,3.92,JP,1707073494
46,saint-pierre,-21.3393,55.4781,22.82,73,0,2.57,RE,1707073494
47,kavaratti,10.5669,72.642,27.78,70,46,3.85,IN,1707072994
48,urumqi,43.801,87.6005,-14.47,92,75,0.0,CN,1707073494
49,tocopilla,-22.092,-70.1979,22.33,77,6,2.33,CL,1707073313
50,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,81,0,3.13,RU,1707073281
51,cobija,-11.0267,-68.7692,33.1,62,75,1.54,BO,1707073494
52,kaesong,37.9708,126.5544,1.32,76,100,6.34,KP,1707073495
53,udachny,66.4167,112.4,-31.64,96,56,2.3,RU,1707073024
54,badger,64.8,-147.5333,-32.6,64,40,0.0,US,1707073057
55,ibotirama,-12.1853,-43.2206,33.92,32,4,0.92,BR,1707073495
56,shingu,33.7333,135.9833,8.92,76,100,3.45,JP,1707073319
57,sabirabad,40.0095,48.4752,6.54,57,15,4.89,AZ,1707073495
58,hermanus,-34.4187,19.2345,21.0,88,4,1.03,ZA,1707072975
59,bilibino,68.0546,166.4372,-31.43,82,8,2.42,RU,1707072986
60,zheleznogorsk-ilimskiy,56.5768,104.1217,-23.18,100,100,2.02,RU,1707073495
61,tsiombe,-25.3,45.4833,23.75,92,100,3.25,MG,1707073290
62,margaret river,-33.95,115.0667,14.95,66,81,3.12,AU,1707073003
63,labytnangi,66.6572,66.4183,-16.09,95,100,1.78,RU,1707073084
64,wailua homesteads,22.0669,-159.378,20.96,73,40,10.8,US,1707072979
65,alaghsas,17.0187,8.0168,21.94,11,0,8.23,NE,1707073009
66,westport,41.1415,-73.3579,6.49,41,3,3.58,US,1707073208
67,nar'yan-mar,67.6713,53.087,-19.38,91,82,3.13,RU,1707073042
68,longyearbyen,78.2186,15.6401,-1.09,74,40,11.32,SJ,1707072975
69,keflavik,64.0049,-22.5624,-4.76,86,75,3.09,IS,1707073011
70,ilulissat,69.2167,-51.1,-21.99,54,20,2.06,GL,1707072981
71,kone,-21.0595,164.8658,25.98,92,98,2.66,NC,1707073067
72,nagqu,31.5,92.0,-5.79,26,100,9.63,CN,1707073063
73,floro,61.5996,5.0328,1.98,80,75,11.83,NO,1707073496
74,olonkinbyen,70.9221,-8.7187,-6.15,74,100,9.23,SJ,1707073001
75,invercargill,-46.4,168.35,13.9,99,98,1.34,NZ,1707072985
76,jiayuguan,39.8167,98.3,-6.23,59,0,1.68,CN,1707073497
77,tiksi,71.6872,128.8694,-33.62,100,95,0.3,RU,1707073291
78,vorgashor,67.5833,63.95,-16.84,91,100,1.11,RU,1707073057
79,albany,42.6001,-73.9662,2.7,55,2,1.34,US,1707072963
80,carutapera,-1.195,-46.02,29.98,64,20,4.37,BR,1707073056
81,kalmunai,7.4167,81.8167,25.56,86,94,2.24,LK,1707073077
82,sandnessjoen,66.0217,12.6316,-0.91,93,75,2.57,NO,1707073061
83,sinabang,2.4803,96.3801,27.01,79,62,1.35,ID,1707073282
84,kodiak,57.79,-152.4072,-0.27,93,75,4.12,US,1707073018
85,puerto natales,-51.7236,-72.4875,25.25,38,75,15.95,CL,1707072968
86,vilyuchinsk,52.9306,158.4028,-12.82,77,97,4.11,RU,1707072987
87,song cau,13.45,109.2167,22.27,93,47,1.25,VN,1707073498
88,bure,10.7,37.0667,18.36,57,100,3.8,ET,1707073498
89,palu,-0.8917,119.8707,24.4,97,100,0.33,ID,1707073498
90,georgetown,5.4112,100.3354,26.84,83,20,2.24,MY,1707073002
91,brak,27.5496,14.2714,13.7,41,11,4.95,LY,1707073297
92,menongue,-14.6585,17.691,18.04,97,100,2.49,AO,1707073498
93,mar del plata,-38.0023,-57.5575,20.01,61,20,5.14,AR,1707072910
94,aden,12.7794,45.0367,25.66,73,86,5.34,YE,1707073210
